,Date,Price,Open,High,Low,Volume,%Chg
2460,22-Mar-2005,2061.6,2096.75,2099.0,2056.5,57.63,-1.67
2461,13-May-2005,1988.3,1992.5,1992.75,1978.9,36.65,-0.24
2462,01-Mar-2005,2084.4,2103.1,2115.1,2073.8,71.29,-0.9
2463,15-Dec-2005,2778.55,2805.2,2821.5,2763.35,92.7,-0.93
2464,05-Aug-2005,2361.2,2367.35,2377.1,2355.95,114.26,-0.28
2465,03-Jan-2005,2115.0,2080.0,2118.6,2080.0,70.51,1.66
2466,19-Aug-2005,2383.45,2400.8,2409.35,2378.45,47.52,-0.21
2467,28-Feb-2005,2103.25,2061.2,2106.2,2047.7,103.14,2.05
2468,10-Oct-2005,2566.85,2577.1,2595.15,2561.0,61.3,-0.28
2469,19-May-2005,1990.85,1983.15,2008.35,1983.15,42.63,0.41
2470,23-Aug-2005,2326.1,2369.55,2380.5,2320.35,57.19,-1.76
2471,08-Feb-2005,2055.15,2055.0,2065.0,2043.6,74.19,0.0
2472,02-Mar-2005,2093.25,2084.6,2096.35,2080.55,78.6,0.42
2473,02-Feb-2005,2052.25,2062.15,2074.5,2045.5,89.99,-0.37
2474,22-Aug-2005,2367.85,2383.45,2403.45,2355.75,55.93,-0.65
2475,28-Oct-2005,2316.05,2352.65,2355.15,2307.45,84.57,-1.57
2476,03-Aug-2005,2357.0,2359.1,2377.0,2345.2,102.04,0.14
2477,22-Feb-2005,2058.4,2043.4,2061.65,2036.6,51.9,0.74
2478,03-May-2005,1920.7,1916.95,1940.1,1911.0,51.92,0.21
2479,17-Jun-2005,2123.4,2123.6,2131.75,2103.9,43.86,-0.01
2480,29-Jun-2005,2191.65,2170.2,2194.25,2162.0,58.64,1.0
2481,03-Mar-2005,2128.85,2093.4,2132.75,2093.35,84.3,1.7
2482,18-Apr-2005,1927.8,1955.5,1959.25,1914.85,70.75,-1.46
2483,23-Mar-2005,2026.4,2061.2,2067.45,2019.85,91.45,-1.71
2484,07-Jun-2005,2098.15,2091.95,2102.85,2084.35,36.01,0.26
2485,20-Oct-2005,2395.45,2421.4,2463.85,2363.55,114.28,-0.7
2486,17-Mar-2005,2098.5,2123.95,2126.55,2090.45,62.05,-1.27
2487,02-May-2005,1916.75,1903.1,1925.6,1898.15,60.56,0.75
2488,15-Apr-2005,1956.3,2022.5,2022.5,1952.75,64.72,-3.41
2489,23-Dec-2005,2804.85,2835.7,2857.0,2799.7,65.17,-1.07
2490,16-Dec-2005,2810.15,2778.65,2814.9,2766.5,88.27,1.14
2491,11-Apr-2005,2008.2,2032.75,2033.0,2001.85,38.49,-1.13
2492,28-Mar-2005,2029.45,2015.75,2046.85,2015.25,51.85,0.7
2493,04-Aug-2005,2367.8,2357.75,2377.35,2352.05,91.95,0.46
2494,10-Mar-2005,2167.4,2160.85,2170.2,2145.75,61.89,0.31
2495,25-Oct-2005,2418.2,2394.95,2444.6,2390.85,85.09,0.98
2496,08-Sep-2005,2454.45,2429.0,2456.9,2429.0,46.07,1.06
2497,24-Jun-2005,2194.35,2184.0,2204.45,2162.95,57.56,0.48
2498,09-Jun-2005,2103.2,2112.25,2118.65,2097.55,53.92,-0.44
2499,23-Feb-2005,2057.1,2058.7,2065.15,2051.35,52.49,-0.06
